5A8	Aleknagik / New Airport
PAED	Elmendorf Air Force Base
PAEH	Cape Newenham LRRS Airport
PAEI	Eielson Air Force Base
PAEM	Emmonak Airport
PAEN	Kenai Municipal Airport
PAFA	Fairbanks International Airport
PAFB	Ladd AAF Airfield
PAFE	Kake Airport
PAFM	Ambler Airport
PAGA	Edward G. Pitka Sr Airport
PAGK	Gulkana Airport
PAGM	Gambell Airport
PAGS	Gustavus Airport
PAHC	Holy Cross Airport
PAHL	Huslia Airport
PAHN	Haines Airport
PAHO	Homer Airport
PAHP	Hooper Bay Airport
PAII	Egegik Airport
PAIK	Bob Baker Memorial Airport
PAIL	Iliamna Airport
PAIM	Indian Mountain LRRS Airport
PAJN	Juneau International Airport
PAKN	King Salmon Airport
PAKP	Anaktuvuk Pass Airport
PAKT	Ketchikan International Airport
PAKW	Klawock Airport
PALU	Cape Lisburne LRRS Airport
PAMC	McGrath Airport
PAMR	Merrill Field
PAMY	Mekoryuk Airport
PANC	Ted Stevens Anchorage International Airport
PANI	Aniak Airport
PANN	Nenana Municipal Airport
PANT	Annette Island Airport
PANV	Anvik Airport
PAOM	Nome Airport
PAOR	Northway Airport
PAOT	Ralph Wien Memorial Airport
PAPB	St George Airport
PAPC	Port Clarence Coast Guard Station
PAPG	Petersburg James A Johnson Airport
PAPH	Port Heiden Airport
PAPM	Platinum Airport
PAQT	Nuiqsut Airport
PARC	Arctic Village Airport
PARY	Ruby Airport
PASA	Savoonga Airport
PASC	Deadhorse Airport
PASD	Sand Point Airport
PASH	Shishmaref Airport
PASI	Sitka Rocky Gutierrez Airport
PASK	Selawik Airport
PASM	St Mary's Airport
PASN	St Paul Island Airport
PASV	Sparrevohn LRRS Airport
PASX	Soldotna Airport
PASY	Eareckson Air Station
PATG	Togiak Airport
PATK	Talkeetna Airport
PATL	Tatalina LRRS Airport
PATQ	Atqasuk Edward Burnell Sr Memorial Airport
PAVD	Valdez Pioneer Field
PAVL	Kivalina Airport
PAWD	Seward Airport
PAWG	Wrangell Airport
PAWI	Wainwright Airport
PAWN	Noatak Airport
PAWS	Wasilla Airport
PAYA	Yakutat Airport
PCIS	Canton Island Airport
PFYU	Fort Yukon Airport
PG-OPU	Balimo Airport
PG-VMU	Baimuru Airport
PGRO	Rota International Airport
PGSN	Saipan International Airport
PGUA	Andersen Air Force Base
PGUM	Antonio B. Won Pat International Airport
PGWT	Tinian International Airport
PH-0001	Laguindingan Airport
PH-0073	Northern Cagayan International Airport
PHBK	Barking Sands Airport
PHDH	Dillingham Airfield
PHHI	Wheeler Army Airfield
PHHN	Hana Airport
PHJH	Kapalua Airport
PHJR	Kalaeloa Airport
PHKO	Ellison Onizuka Kona International At Keahole Airport
PHLI	Lihue Airport
PHMK	Molokai Airport
PHMU	Waimea Kohala Airport
PHNG	Kaneohe Bay MCAS (Marion E. Carl Field) Airport
PHNL	Daniel K Inouye International Airport
PHNY	Lanai Airport
PHOG	Kahului Airport
PHSF	Bradshaw Army Airfield
PHTO	Hilo International Airport
PHUP	Upolu Airport
PK-0001	New Islamabad International Airport
PKMJ	Marshall Islands International Airport
PKSA	Kaieteur International Airport
PKWA	Bucholz Army Air Field
PLCH	Cassidy International Airport
PMDY	Henderson Field
PPIZ	Point Lay LRRS Airport
PTKK	Chuuk International Airport
PTPN	Pohnpei International Airport
PTRO	Babelthuap Airport
PTSA	Kosrae International Airport
PTYA	Yap International Airport
PWAK	Wake Island Airfield
QA-0001	Hamad International Airport
RCAY	Gangshan Air Force Base
RCBS	Kinmen Airport
RCDC	Pingtung South Airport
RCDI	Longtan Air Base
RCFG	Matsu Nangan Airport
RCFN	Taitung Airport
RCKH	Kaohsiung International Airport
RCKU	Chiayi Airport
RCKW	Hengchun Airport
RCLY	Lanyu Airport
RCMQ	Taichung Ching Chuang Kang Airport
RCMT	Matsu Beigan Airport
RCNN	Tainan Airport
RCPO	Hsinchu Air Base
RCQC	Makung Airport
RCQS	Chihhang Air Base
RCSQ	Pingtung North Airport
RCSS	Taipei Songshan Airport
RCTP	Taiwan Taoyuan International Airport
RCYU	Hualien Airport
RJAA	Narita International Airport
RJAF	Matsumoto Airport
RJAH	Hyakuri Airport
RJAW	Iwo Jima Airport
RJBB	Kansai International Airport
RJBD	Nanki Shirahama Airport
RJBE	Kobe Airport
RJBH	Hiroshimanishi Airport
RJBT	Tajima Airport
RJCB	Tokachi-Obihiro Airport
RJCC	New Chitose Airport
RJCH	Hakodate Airport
RJCJ	Chitose Air Base
RJCK	Kushiro Airport
RJCM	Memanbetsu Airport
RJCN	Nakashibetsu Airport
RJCO	Okadama Airport
RJCS	Kenebetsu JASDF Airfield
RJCT	Tokachi Airport
RJCW	Wakkanai Airport
RJDB	Iki Airport
RJDC	Yamaguchi Ube Airport
RJDT	Tsushima Airport
RJEB	Monbetsu Airport
RJEC	Asahikawa Airport
RJEO	Okushiri Airport
RJER	Rishiri Airport
RJFA	Ashiya Airport
RJFC	Yakushima Airport
RJFE	Fukue Airport
RJFF	Fukuoka Airport
RJFG	New Tanegashima Airport
RJFK	Kagoshima Airport
RJFM	Miyazaki Airport
RJFN	Nyutabaru Airport
RJFO	Oita Airport
RJFR	KitakyÅ«shÅ« Airport
RJFS	Saga Airport
RJFT	Kumamoto Airport
RJFU	Nagasaki Airport
RJFY	Kanoya Airport
RJFZ	Tsuiki Air Field
RJGG	Chubu Centrair International Airport
RJKA	Amami Airport
RJKB	Okierabu Airport
RJKI	Kikai Airport
RJKN	Tokunoshima Airport
RJNA	Nagoya Airport
RJNF	Fukui Airport
RJNG	Gifu Airport
RJNH	Hamamatsu Airport
RJNK	Komatsu Airport
RJNO	Oki Airport
rjns	Mt. Fuji Shizuoka Airport
RJNT	Toyama Airport
RJNW	Noto Airport
RJNY	Shizuhama Airport
RJOA	Hiroshima Airport
RJOB	Okayama Airport
RJOC	Izumo Airport
RJOF	Hofu Airport
RJOH	Miho Yonago Airport
RJOI	Iwakuni Marine Corps Air Station
RJOK	KÅchi RyÅma Airport
RJOM	Matsuyama Airport
RJOO	Osaka International Airport
RJOR	Tottori Airport
RJOS	Tokushima Airport/JMSDF Air Base
RJOT	Takamatsu Airport
RJOW	Iwami Airport
RJOY	Yao Airport
RJOZ	Ozuki Airport
RJSA	Aomori Airport
RJSC	Yamagata Airport
RJSD	Sado Airport
RJSF	Fukushima Airport
RJSH	Hachinohe Airport
RJSI	Hanamaki Airport
RJSK	Akita Airport
RJSM	Misawa Air Base
RJSN	Niigata Airport
RJSR	Odate Noshiro Airport
RJSS	Sendai Airport
RJST	Matsushima Air Base
RJSY	Shonai Airport
RJTA	Atsugi Naval Air Facility
RJTE	Tateyama Airport
RJTF	Chofu Airport
RJTH	Hachijojima Airport
RJTJ	Iruma Air Base
RJTK	Kisarazu Airport
RJTL	Shimofusa Airport
RJTO	Oshima Airport
RJTQ	Miyakejima Airport
RJTT	Tokyo Haneda International Airport
RJTU	Utsunomiya Airport
RJTY	Yokota Air Base
RKJB	Muan International Airport
RKJJ	Gwangju Airport
RKJK	Kunsan Air Base
RKJY	Yeosu Airport
RKNN	Gangneung Airport (K-18)
RKNW	Wonju/Hoengseong Air Base (K-38/K-46)
RKNY	Yangyang International Airport
RKPC	Jeju International Airport
RKPD	Jeongseok Airport
RKPK	Gimhae International Airport
RKPS	Sacheon Air Base/Airport
RKPU	Ulsan Airport
RKSG	A 511 Airport
RKSI	Incheon International Airport
RKSM	Seoul Air Base (K-16)
RKSO	Osan Air Base
RKSS	Gimpo International Airport
RKSW	Suwon Airport
RKTH	Pohang Airport (G-815/K-3)
RKTI	Jungwon Air Base/Chungju Airport
RKTN	Daegu Airport
RKTU	Cheongju International Airport/Cheongju Air Base (K-59/G-513)
RKTY	Yecheon Airbase
RMU	RegiÃ³n de Murcia International Airport
ROAH	Naha Airport
RODN	Kadena Air Base
ROKJ	Kumejima Airport
ROMD	Minami-Daito Airport
ROMY	Miyako Airport
RORE	Ie Jima Airport
RORK	Kitadaito Airport
RORS	Shimojishima Airport
RORT	Tarama Airport
RORY	Yoron Airport
ROTM	Futenma Marine Corps Air Station
ROYN	Yonaguni Airport
RPLB	Subic Bay International Airport
RPLC	Diosdado Macapagal International Airport
RPLI	Laoag International Airport
RPLL	Ninoy Aquino International Airport
RPLP	Legazpi City International Airport
RPLT	Itbayat Airport
RPLU	Lubang Airport
RPMA	Allah Valley Airport
RPMB	Rajah Buayan Air Base
RPMC	Awang Airport
RPMD	Francisco Bangoy International Airport
RPME	Bancasi Airport
RPMF	Bislig Airport
RPMG	Dipolog Airport
RPMH	Camiguin Airport
RPMJ	Jolo Airport
RPMN	Sanga Sanga Airport
RPMO	Labo Airport
RPMP	Pagadian Airport
RPMQ	Mati National Airport
RPMR	General Santos International Airport
RPMS	Surigao Airport
RPMW	Tandag Airport
RPMZ	Zamboanga International Airport
RPUB	Loakan Airport
RPUD	Daet Airport
RPUH	San Jose Airport
RPUM	Mamburao Airport
RPUN	Naga Airport
RPUO	Basco Airport
RPUR	Dr.Juan C. Angara Airport
RPUS	San Fernando Airport
RPUT	Tuguegarao Airport
RPUV	Virac Airport
RPUW	Marinduque Airport
RPUY	Cauayan Airport
RPVA	Daniel Z. Romualdez Airport
RPVB	Bacolod-Silay Airport
RPVC	Calbayog Airport
RPVD	Sibulan Airport
RPVE	Godofredo P. Ramos Airport
RPVF	Catarman National Airport
RPVI	Iloilo International Airport
RPVJ	Moises R. Espinosa Airport
RPVK	Kalibo International Airport
RPVM	Mactan Cebu International Airport
RPVO	Ormoc Airport
RPVP	Puerto Princesa Airport
RPVR	Roxas Airport
RPVS	Evelio Javier Airport
RPVT	Tagbilaran Airport
RPVU	Tugdan Airport
RPVV	Francisco B. Reyes Airport
RU-0001	Levashovo Air Base
RU-0008	Bada Air Base
RU-0010	Balashov Air Base
RU-0014	Borisoglebsk Air Base
RU-0015	Khotilovo Air Base
RU-0016	Lipetsk Air Base
RU-0018	Buturlinovka Air Base
RU-0023	Chindant Air Base
RU-0028	Kaliningrad Chkalovsk Naval Air Base
RU-0035	Grozny North Airport
RU-0036	Irkutsk Northwest Airport
RU-0040	Syktyvkar Southwest
RU-0043	Mius Airport
RU-0050	Yamburg Airport
RU-0059	Alakurtti Naval Air Base
RU-0060	Chernyakhovsk Naval Air Base
RU-0064	Ostrov Naval Air Base
RU-0065	Pribylovo Naval Air Base
RU-0089	Krymsk Air Base
RU-0090	Krasnodar Tsentralny Air Base
RU-0098	Oktyabrskiy Air Base
RU-0125	Bobrovka Air Base
RU-0128	Budyonnovsk Air Base
RU-0132	Chernigovka Air Base
RU-0152	Mozdok Air Base
RU-0189	Kostomuksha Airport
RU-0211	Taganrog Tsentralny Air Base
RU-0217	Sormovo Airfield
RU-0240	Seshcha Air Base
RU-0303	Privolzhskiy Air Base
RU-0304	Kapustin Yar Airfield
RU-0327	Vozdvizhenka Air Base
RU-0372	Rostov-na-Donu Tsentralny Air Base
RU-0380	Akhtubinsk Air Base
RU-0764	Kubinka Air Base
RU-1071	Kamensk-Uralskiy Air Base
RU-1892	Dolinsk-Sokol Air Base
RU-2244	Ukrainka Air Base
RU-2344	Samara Kryazh Air Base
RU-2844	Dzhida Air Base
RU-3095	Shadrinsk Air Base
RU-3686	Vorotynsk Air Base
RU-3709	Bagay-Baranovka Air Base
RU-3880	Kansk Air Base
RU-4339	Tambov Air Base
RU-4421	Danilovo Air Base
RU-4464	Olenya Air Base
RU-4536	Rogachyovo Air Base
RU-4609	Shatalovo Air Base
RU-4827	Cheryomushki Air Base
RU-5105	Chuguyevka Air Base
RU-5276	Kilpyavr Air Base
RU-5376	Smuravyovo Air Base
RU-5672	Ivanovo North Air Base
RU-6558	Lyambir Air Base
RU-6560	Ulan-Ude East Airport
RU-6687	Michurinsk Air Base
RU-7576	Step Air Base
RU-7847	Ukkurey Air Base
RU-7911	Yugorsk Sovetsky Air Base
RU-7978	Uprun Air Base
RU-8363	Voronezh Baltimor Air Base
RU-8499	Sharomy Air Base
RU-8602	Engels Air Base
RU-8709	Dorokhovo Air Base
RU-8964	Beryozovka Air Base
RU-8974	Yaroslavl Levtsovo Air Base
RU-9129	Vorkuta Sovetskiy Air Base
RU-9345	Krechevitsy Air Base
RU-9545	Zherdevka Air Base
RU-9937	Rzhev Air Base
RU-9942	Shaykovka Air Base
SAAC	Comodoro Pierrestegui Airport
SAAG	Gualeguaychu Airport
SAAP	General Urquiza Airport
SAAR	Islas Malvinas Airport
SAAV	Sauce Viejo Airport
SABE	Jorge Newbery Airpark
SACO	Ingeniero Ambrosio Taravella Airport
SADF	San Fernando Airport
SADL	La Plata Airport
SADP	El Palomar Airport
SAEZ	Ministro Pistarini International Airport
SAHS	Rincon De Los Sauces Airport
SAHZ	Zapala Airport
SAME	El Plumerillo Airport
SAMM	Comodoro D.R. SalomÃ³n Airport
SAMR	Suboficial Ay Santiago Germano Airport
SANC	Catamarca Airport
SANE	Vicecomodoro Angel D. La Paz AragonÃ©s Airport
SANL	Capitan V A Almonacid Airport
SANR	Termas de RÃ­o Hondo international Airport
SANT	Teniente Benjamin Matienzo Airport
SANU	Domingo Faustino Sarmiento Airport
SAOC	Area De Material Airport
SAOD	Villa Dolores Airport
SAOR	Villa Reynolds Airport
SAOU	Brigadier Mayor D Cesar Raul Ojeda Airport
SAOV	Presidente NÃ©stor Kirchner Regional Airport
SARC	Corrientes Airport
SARE	Resistencia International Airport
SARF	Formosa Airport
SARI	Cataratas Del IguazÃº International Airport
SARL	Paso De Los Libres Airport
SARM	Monte Caseros Airport
SARP	Libertador Gral D Jose De San Martin Airport
SASA	Martin Miguel De Guemes International Airport
SASJ	Gobernador Horacio Guzman International Airport
SASO	OrÃ¡n Airport
SAST	General Enrique Mosconi Airport
SATG	Goya Airport
SATR	Reconquista Airport
SATU	Curuzu Cuatia Airport
SAVB	El Bolson Airport
SAVC	General E. Mosconi Airport
SAVE	Brigadier Antonio Parodi Airport
SAVH	Las Heras Airport
SAVT	Almirante Marco Andres Zar Airport
SAVV	Gobernador Castello Airport
SAVY	El Tehuelche Airport
SAWC	El Calafate Airport
SAWD	Puerto Deseado Airport
SAWE	Hermes Quijada International Airport
SAWG	Piloto Civil N. FernÃ¡ndez Airport
SAWH	Malvinas Argentinas Airport
SAWJ	Capitan D Daniel Vazquez Airport
SAWP	Perito Moreno Airport
SAWU	Santa Cruz Airport
SAZB	Comandante Espora Airport
SAZG	General Pico Airport
SAZH	Tres Arroyos Airport
SAZL	Santa Teresita Airport
SAZM	Ãstor Piazzola International Airport
SAZN	Presidente Peron Airport
SAZO	Necochea Airport
SAZP	Comodoro Pedro Zanni Airport
SAZR	Santa Rosa Airport
SAZS	San Carlos De Bariloche Airport
SAZT	HÃ©roes De Malvinas Airport
SAZV	Villa Gesell Airport
SAZW	Cutral-Co Airport
SAZY	Aviador C. Campos Airport
SBAA	ConceiÃ§Ã£o do Araguaia Airport
SBAF	Campo DÃ©lio Jardim de Mattos Airport
SBAN	Base AÃ©rea Airport
SBAQ	Araraquara Airport
SBAR	Santa Maria Airport
SBAT	Piloto Osvaldo Marques Dias Airport
SBAU	AraÃ§atuba Airport
SBBE	Val de Cans/JÃºlio Cezar Ribeiro International Airport
SBBG	Comandante Gustavo Kraemer Airport
SBBH	Pampulha - Carlos Drummond de Andrade Airport
SBBI	Bacacheri Airport
SBBQ	Major Brigadeiro Doorgal Borges Airport
SBBR	Presidente Juscelino Kubistschek International Airport
SBBT	Chafei Amsei Airport
SBBU	Bauru Airport
SBBV	Atlas Brasil Cantanhede Airport
SBBW	Barra do GarÃ§as Airport
SBBZ	Umberto Modiano Airport
SBCA	Cascavel Airport
SBCC	Cachimbo Airport
SBCF	Tancredo Neves International Airport
SBCG	Campo Grande Airport
SBCH	Serafin Enoss Bertaso Airport
SBCI	Brig. Lysias Augusto Rodrigues Airport
SBCJ	CarajÃ¡s Airport
SBCM	DiomÃ­cio Freitas Airport
SBCO	Canoas Air Force Base
SBCP	Bartolomeu Lisandro Airport
SBCR	CorumbÃ¡ International Airport
SBCT	Afonso Pena Airport
SBCV	Caravelas Airport
SBCX	Hugo Cantergiani Regional Airport
SBCY	Marechal Rondon Airport
SBCZ	Cruzeiro do Sul Airport
SBDN	Presidente Prudente Airport
SBEG	Eduardo Gomes International Airport
SBEK	Jacareacanga Airport
SBFI	Cataratas International Airport
SBFL	HercÃ­lio Luz International Airport
SBFN	Fernando de Noronha Airport
SBFZ	Pinto Martins International Airport
SBGL	Rio GaleÃ£o â€“ Tom Jobim International Airport
SBGM	GuajarÃ¡-Mirim Airport
SBGO	Santa Genoveva Airport
SBGR	Guarulhos - Governador AndrÃ© Franco Montoro International Airport
SBGW	GuaratinguetÃ¡ Airport
SBHT	Altamira Airport
SBIC	Itacoatiara Airport
SBIH	Itaituba Airport
SBIL	Bahia - Jorge Amado Airport
SBIP	Usiminas Airport
SBIZ	Prefeito Renato Moreira Airport
SBJF	Francisco de Assis Airport
SBJP	Presidente Castro Pinto International Airport
SBJV	Lauro Carneiro de Loyola Airport
SBKG	Presidente JoÃ£o Suassuna Airport
SBKP	Viracopos International Airport
SBLJ	Lages Airport
SBLN	Lins Airport
SBLO	Governador JosÃ© Richa Airport
SBLP	Bom Jesus da Lapa Airport
SBMA	JoÃ£o Correa da Rocha Airport
SBMC	MinaÃ§u Airport
SBMD	Monte Dourado Airport
SBME	MacaÃ© Airport
SBMG	Regional de MaringÃ¡ - SÃ­lvio Nane Junior Airport
SBMK	MÃ¡rio Ribeiro Airport
SBML	Frank Miloye Milenkowichiâ€“MarÃ­lia State Airport
SBMN	Ponta Pelada Airport
SBMO	Zumbi dos Palmares Airport
SBMQ	Alberto Alcolumbre Airport
SBMS	Dix-Sept Rosado Airport
SBMT	Campo de Marte Airport
SBMY	ManicorÃ© Airport
SBNF	Ministro Victor Konder International Airport
SBNM	Santo Ã‚ngelo Airport
SBNT	Augusto Severo Airport
SBOI	Oiapoque Airport
SBPA	Salgado Filho Airport
SBPC	PoÃ§os de Caldas - Embaixador Walther Moreira Salles Airport
SBPF	Lauro Kurtz Airport
SBPJ	Brigadeiro Lysias Rodrigues Airport
SBPK	JoÃ£o SimÃµes Lopes Neto International Airport
SBPL	Senador Nilo Coelho Airport
SBPN	Porto Nacional Airport
SBPP	Ponta PorÃ£ Airport
SBPS	Porto Seguro Airport
SBPV	Governador Jorge Teixeira de Oliveira Airport
SBQV	VitÃ³ria da Conquista Airport
SBRB	PlÃ¡cido de Castro Airport
SBRF	Guararapes - Gilberto Freyre International Airport
SBRJ	Santos Dumont Airport
SBRP	Leite Lopes Airport
SBSC	Santa Cruz Air Force Base
SBSG	Governador AluÃ­zio Alves International Airport
SBSJ	Professor Urbano Ernesto Stumpf Airport
SBSL	Marechal Cunha Machado International Airport
SBSM	Santa Maria Airport
SBSN	Maestro Wilson Fonseca Airport
SBSP	Congonhas Airport
SBSR	Prof. Eribelto Manoel Reino State Airport
SBST	Base AÃ©rea de Santos Airport
SBSV	Deputado Luiz Eduardo MagalhÃ£es International Airport
SBTA	Base de AviaÃ§Ã£o de TaubatÃ© Airport
SBTB	Trombetas Airport
SBTE	Senador PetrÃ´nio Portela Airport
SBTF	TefÃ© Airport
SBTK	TarauacÃ¡ Airport
SBTL	TelÃªmaco Borba Airport
SBTS	TiriÃ³s Airport
SBTT	Tabatinga Airport
SBTU	TucuruÃ­ Airport
SBUA	SÃ£o Gabriel da Cachoeira Airport
SBUF	Paulo Afonso Airport
SBUG	Rubem Berta Airport
SBUL	Ten. Cel. Aviador CÃ©sar Bombonato Airport
SBUR	MÃ¡rio de Almeida Franco Airport
SBVG	Major Brigadeiro Trompowsky Airport
SBVH	Brigadeiro CamarÃ£o Airport
SBVT	Eurico de Aguiar Salles Airport
SBYS	Campo Fontenelle Airport
SBZM	Presidente Itamar Franco Airport
SCAR	Chacalluta Airport
SCAT	Desierto de Atacama Airport
SCBA	Balmaceda Airport
SCBE	Barriles Airport
SCCC	Chile Chico Airport
SCCF	El Loa Airport
SCCH	Gral. Bernardo OÂ´Higgins Airport
SCCI	Pdte. Carlos IbaÃ±ez del Campo Airport
SCCY	Teniente Vidal Airport
SCDA	Diego Aracena Airport
SCEL	Comodoro Arturo Merino BenÃ­tez International Airport
SCES	Ricardo GarcÃ­a Posada Airport
SCFA	AndrÃ©s Sabella GÃ¡lvez International Airport
SCFM	Capitan Fuentes Martinez Airport Airport
SCGZ	Guardiamarina ZaÃ±artu Airport
SCHR	Cochrane Airport
SCIE	Carriel Sur Airport
SCIP	Mataveri Airport
SCJO	CaÃ±al Bajo Carlos - Hott Siebert Airport
SCLL	Vallenar Airport
SCNT	Tte. Julio Gallardo Airport
SCQP	La AraucanÃ­a Airport
SCRA	ChaÃ±aral Airport
SCRG	De La Independencia Airport
SCSE	La Florida Airport
SCTC	Maquehue Airport
SCTE	El Tepual Airport
SCTL	Panguilemo Airport
SCTN	ChaitÃ©n Airport
SCTO	Victoria Airport
SCTT	Las Breas Airport
SCVD	Pichoy Airport
SCVM	ViÃ±a del mar Airport
SD-0001	Wadi Seidna Air Base
SDZY	Zona da Mata Regional Airport
SEAM	ChachoÃ¡n Airport
SECO	Francisco De Orellana Airport
SECU	Mariscal Lamar Airport
SEGU	JosÃ© JoaquÃ­n de Olmedo International Airport
SELT	Cotopaxi International Airport
SEMA	Jose Maria Velasco Ibarra Airport
SEMC	Coronel E Carvajal Airport
SEMH	General Manuel Serrano Airport
SEMT	Eloy Alfaro International Airport
SEPV	Reales Tamarindos Airport
SEQM	Mariscal Sucre International Airport
SERO	Santa Rosa International Airport
SESA	General Ulpiano Paez Airport
SETR	Tarapoa Airport
SETU	Teniente Coronel Luis a Mantilla Airport
SFAL	Port Stanley Airport
SGAS	Silvio Pettirossi International Airport
SGAY	Juan De Ayolas Airport
SGES	Guarani International Airport
SGME	Dr. Luis Maria ArgaÃ±a International Airport
SGPI	Carlos Miguel Gimenez Airport
SJTC	Bauru - Arealva Airport
SKAP	Gomez Nino Apiay Air Base
SKAR	El Eden Airport
SKAS	Tres De Mayo Airport
SKBC	Las Flores Airport
SKBG	Palonegro Airport
SKBO	El Dorado International Airport
SKBQ	Ernesto Cortissoz International Airport
SKBS	JosÃ© Celestino Mutis Airport
SKBU	Gerardo Tobar LÃ³pez Airport
SKCC	Camilo Daza International Airport
SKCG	Rafael NuÃ±ez International Airport
SKCL	Alfonso Bonilla Aragon International Airport
SKCO	La Florida Airport
SKCU	Juan H White Airport
SKCV	CoveÃ±as Airport
SKCZ	Las Brujas Airport
SKEB	El Bagre Airport
SKEJ	YariguÃ­es Airport
SKFL	Gustavo Artunduaga Paredes Airport
SKGI	Santiago Vila Airport
SKGO	Santa Ana Airport
SKGP	Juan Casiano Airport
SKIB	Perales Airport
SKIP	San Luis Airport
SKLC	Antonio Roldan Betancourt Airport
SKLM	Jorge Isaac Airport
SKLT	Alfredo VÃ¡squez Cobo International Airport
SKMD	Enrique Olaya Herrera Airport
SKMG	Baracoa Airport
SKMR	Los Garzones Airport
SKMU	Fabio Alberto Leon Bentley Airport
SKMZ	La Nubia Airport
SKNV	Benito Salas Airport
SKOC	Aguas Claras Airport
SKPC	German Olano Airport
SKPD	Obando Airport
SKPE	MatecaÃ±a International Airport
SKPI	Pitalito Airport
SKPP	Guillermo LeÃ³n Valencia Airport
SKPQ	German Olano Air Base
SKPS	Antonio Narino Airport
SKPV	El Embrujo Airport
SKPZ	Paz De Ariporo Airport
SKQU	Mariquita Airport
SKRG	Jose Maria CÃ³rdova International Airport
SKRH	Almirante Padilla Airport
SKSJ	Jorge E. Gonzalez Torres Airport
SKSM	SimÃ³n BolÃ­var International Airport
SKSP	Gustavo Rojas Pinilla International Airport
SKSV	Eduardo Falla Solano Airport
SKTJ	Tunja Airport
SKTM	Gustavo Vargas Airport
SKTQ	Tres Esquinas Air Base
SKUA	MarandÃºa Air Base
SKUC	Santiago Perez Airport
SKUI	El CaraÃ±o Airport
SKUL	Heriberto GÃ­l MartÃ­nez Airport
SKVP	Alfonso LÃ³pez Pumarejo Airport
SKVV	Vanguardia Airport
SKYP	El Yopal Airport
SLBJ	Bermejo Airport
SLCB	Jorge Wilsterman International Airport
SLCO	CapitÃ¡n AnÃ­bal Arab Airport
SLET	El Trompillo Airport
SLLP	El Alto International Airport
SLOR	Juan Mendoza Airport
SLPO	Capitan Nicolas Rojas Airport
SLPS	CapitÃ¡n Av. Salvador Ogaya G. airport
SLSA	Santa Ana Del Yacuma Airport
SLSU	Juana Azurduy De Padilla Airport
SLTJ	Capitan Oriel Lea Plaza Airport
SLTR	Teniente Av. Jorge Henrich Arauz Airport
SLVM	Teniente Coronel Rafael PabÃ³n Airport
SLVR	Viru Viru International Airport
SLYA	Yacuiba Airport
SMJP	Johan Adolf Pengel International Airport
SO-0001	K50 International Airport
SOCA	Cayenne-Rochambeau Airport
SOOG	Saint-Georges-de-l'Oyapock Airport
SPAY	Teniente General Gerardo PÃ©rez Pinedo Airport
SPBC	Caballococha Airport
SPBR	Iberia Airport
SPCL	Cap FAP David Abenzur Rengifo International Airport
SPEO	Teniente FAP Jaime A De Montreuil Morales Airport
SPHI	Capitan FAP Jose A Quinones Gonzales International Airport
SPHO	Coronel FAP Alfredo Mendivil Duarte Airport
SPHZ	Comandante FAP German Arias Graziani Airport
SPIM	Jorge ChÃ¡vez International Airport
SPJA	Juan Simons Vela Airport
SPJE	Shumba Airport
SPJI	Juanjui Airport
SPJJ	Francisco Carle Airport
SPJL	Inca Manco Capac International Airport
SPJR	Mayor General FAP Armando Revoredo Iglesias Airport
SPLO	Ilo Airport
SPME	Capitan FAP Pedro Canga Rodriguez Airport
SPMS	Moises Benzaquen Rengifo Airport
SPNC	Alferez Fap David Figueroa Fernandini Airport
SPPY	Chachapoyas Airport
SPQT	Coronel FAP Francisco Secada Vignetta International Airport
SPQU	RodrÃ­guez BallÃ³n International Airport
SPRU	Capitan FAP Carlos Martinez De Pinillos International Airport
SPSO	CapitÃ¡n FAP RenÃ¡n ElÃ­as Olivera International Airport
SPST	Cadete FAP Guillermo Del Castillo Paredes Airport
SPTN	Coronel FAP Carlos Ciriani Santa Rosa International Airport
SPTU	Padre Aldamiz International Airport
SPUR	CapitÃ¡n FAP Guillermo Concha Iberico International Airport
SPYL	Capitan Montes Airport
SPZA	Maria Reiche Neuman Airport
SPZO	Alejandro Velasco Astete International Airport
SQD	Shangrao Sanqingshan Airport
SQJ	Shaxian Airport
SSZW	Ponta Grossa Airport - Comandante Antonio Amilton Beraldo
SUAA	Angel S Adami Airport
SUDU	Santa Bernardina International Airport
SULS	Capitan Corbeta CA Curbelo International Airport
SUMU	Carrasco International /General C L Berisso Airport
SUSO	Nueva Hesperides International Airport
SVAC	Oswaldo Guevara Mujica Airport
SVAN	Anaco Airport
SVBC	General JosÃ© Antonio Anzoategui International Airport
SVBI	Barinas Airport
SVBL	El Libertador Airbase
SVBM	Barquisimeto International Airport
SVBS	Escuela Mariscal Sucre Airport
SVCB	Aeropuerto "General Tomas de Heres". Ciudad Bolivar
SVCD	Caicara del Orinoco Airport
SVCL	Calabozo Airport
SVCN	Canaima Airport
SVCO	Carora Airport
SVCP	General Francisco BermÃºdez Airport
SVCR	JosÃ© Leonardo Chirinos Airport
SVCS	Oscar Machado Zuluaga Airport
SVCU	CumanÃ¡ (Antonio JosÃ© de Sucre) Airport
SVED	El Dorado Airport
SVEZ	Elorza Airport
SVFM	Francisco de Miranda Airport
SVGD	Guasdalito Airport
SVGI	Guiria Airport
SVGU	Guanare Airport
SVJC	Josefa Camejo International Airport
SVJM	San Juan de Los Morros Airport
SVLF	La Fria Airport
SVMC	La Chinita International Airport
SVMD	Alberto Carnevalli Airport
SVMG	Del Caribe Santiago MariÃ±o International Airport
SVMI	SimÃ³n BolÃ­var International Airport
