5A8	Aleknagik / New Airport
EGVN	RAF Brize Norton
EGVO	RAF Odiham
EGWC	DCAE Cosford Air Base
EGWU	RAF Northolt
EGXC	RAF Coningsby
EGXD	RAF Dishforth
EGXE	Leeming Airport
EGXG	Leeds East Airport
EGXH	RAF Honington
EGXP	RAF Scampton
EGXT	RAF Wittering
EGXU	RAF Linton-On-Ouse
EGXW	RAF Waddington
EGXZ	RAF Topcliffe
EGYD	RAF Cranwell
EGYE	RAF Barkston Heath
EGYM	RAF Marham
EGYP	Mount Pleasant Airport
EHAM	Amsterdam Airport Schiphol
EHBD	Budel Airfield Kempen
EHBK	Maastricht Aachen Airport
EHDL	Deelen Air Base
EHDP	De Peel Air Base
EHEH	Eindhoven Airport
EHGG	Eelde Airport
EHGR	Gilze Rijen Air Base
EHKD	De Kooy Airport
EHLE	Lelystad Airport
EHLW	Leeuwarden Air Base
EHRD	Rotterdam The Hague Airport
EHTW	Twente Airport
EHVK	Volkel Air Base
EHWO	Woensdrecht Air Base
EICK	Cork Airport
EICM	Galway Airport
EIDL	Donegal Airport
EIDW	Dublin Airport
EIKN	Ireland West Knock Airport
EIKY	Kerry Airport
EIME	Casement Air Base
EINN	Shannon Airport
EISG	Sligo Airport
EIWF	Waterford Airport
EIWT	Weston Airport
EKAH	Aarhus Airport
EKBI	Billund Airport
EKCH	Copenhagen Kastrup Airport
EKEB	Esbjerg Airport
EKKA	Karup Airport
EKMB	Lolland Falster Maribo Airport
EKOD	Odense Airport
EKRK	Copenhagen Roskilde Airport
EKRN	Bornholm Airport
EKSB	SÃ¸nderborg Airport
EKSN	Sindal Airport
EKSP	Skrydstrup Air Base
EKSV	Skive Airport
